query_case_id,rank,case_id,conversation_id,lexical_score,rerank_score,outcome_tier,safety_penalty_flags,message,historical_reply,customer_followup
tesco-2950175,1,tesco-1047316,1047318,4.343330123648807,0.8686401732133375,positive_followup_proxy,[],@Tesco <media_or_link>,"@customer Hi <name_redacted>, I'm sorry you did not meet the qualifying spend. Your total before staff discount was only £51.06. Thanks",@Tesco Thanks for the explanation. I'll just have to drink more wine!
tesco-2950175,2,tesco-1218477,1218483,4.343330123648807,0.8686401732133375,positive_followup_proxy,[],@Tesco <media_or_link>,"@customer Hi <name_redacted>, I have logged this on our system and I have sent you out a Tesco MoneyCard that will be with you within 10 working days.",@Tesco thank you
tesco-2950175,3,tesco-1131485,1131485,4.343330123648807,0.8186401732133375,positive_followup_proxy,"[""over_public_length_limit""]",@Tesco <media_or_link>,"@customer Hi <name_redacted>, I am just looking in to this and will get back to you shortly :) @customer Hi <name_redacted>, there is no set age on our spaces, we expect our customers to be fair and apply common sense when using them :) 1/2 @customer This however may differ to each specific store so it's worth asking a manager next time you're in the store - Tyler 2/2",@Tesco Ok thank you
tesco-1726133,1,tesco-1067894,1067894,16.17705676591458,0.80942648501738,positive_followup_proxy,[],@Tesco when I try to scan and shop error code 200 appears and no member of staff can clear it - what can I do?,"@customer Hi <name_redacted>, thank you for bringing this to our attention. Can you confirm the store so that I can look into this for you? TY",@Tesco Thank you - it’s the Taplow store
tesco-1726133,2,tesco-1615700,1615700,19.379009997617178,0.7540099736571114,unclassified_followup,[],"@Tesco Hey, just to say since your self checkout upgrade at canary wharf, I can no longer scan my club card. ETA on resolution?",@customer Sadly we don't have an update. Have you got Clubcard app? This has a QPR code that you can use at self service to scan.,"@Tesco No, I kind of just want it to work the way it always has rather than fumbling around with my phone at the checkout. Not unreasonable."
tesco-1726133,3,tesco-1960839,1960840,20.58061264629703,0.7207626396389554,no_customer_followup,"[""over_public_length_limit""]","@Tesco It's still not working here is the error I get, it happens when you click on groceries and try to sign in, I have tried a few times <media_or_link>","@customer Hi <name_redacted>, we have a few steps for you to follow to help get you up and running. 1/4 @customer Can you please clear the cache/cookies on your browser, then check the date and time on device. 2/4 @customer Please then close the browser and reopen, please then try once more. 3/4 @customer This should work, however if not please get back in touch. Ty Andrew 4/4",
tesco-570535,1,tesco-1665884,1665884,16.321600008257917,0.82,unclassified_followup,[],@Tesco - did someone forget to use spell check? X <media_or_link>,"@customer Oops! Thanks for letting us know about the error, Caroline :) Please can you send me a photo of the barcode number and use by date? 1/2 @customer I'll happily report this on my system so our suppliers and Head Office are made aware - Mat 2/2",@Tesco When I get home from work I will
tesco-570535,2,tesco-2094461,2094461,9.409815392621663,0.6527507485813785,positive_followup_proxy,[],@Tesco someone needs to learn to count. <media_or_link>,"@customer Hey <name_redacted>, that doesn't seem right! If you go back to the store with your receipt I'm sure they will happily let you exchange these","@Tesco Would be great, but can’t as I needed to wear a pair today. Either a problem with QA or someone is stealing in store."
tesco-570535,3,tesco-1086220,1086220,11.439562728454552,0.5447256048786084,no_customer_followup,[],@Tesco really not impressed with your free favourite toy mag. Doesn’t help our children when you can’t spell #stationery! #incorrect <media_or_link>,"@customer Hi <name_redacted>, so sorry about this. We are aware of this and it will be changed.",
tesco-585163,1,tesco-1887839,1881181,11.782099474511181,0.6383126364914743,positive_followup_proxy,[],"@Tesco @customer Hi, I have DM’ed you the details. Still missing my order and not received any confirmation that it has been delivered to store","@customer @customer Hi <name_redacted>, I have private mailed you. TY",@Tesco @customer Thank you. I have sent a response to your DM
tesco-585163,2,tesco-2104623,2104623,11.625808077406594,0.6322330474994698,positive_followup_proxy,[],"@Tesco Hi. Can I refund an item I ordered through click and collect to store, it's through a third party? Thank you.","@customer Hi <name_redacted>, with some partner products you can return to a store but I'll take a look at your order &amp; let you know. 1/2 @customer To do this I'd need your full name, address &amp; order number? Thank you in advance :) Kind regards - Andy S 2/2",@Tesco Wonderful thank you. I've dm'd you!
tesco-585163,3,tesco-1639296,1639296,13.431615793708989,0.6024772766579184,positive_followup_proxy,"[""private_channel_request"", ""personal_data_request""]","@Tesco My Direct order was due to be at store yesterday. Still showing as despatched on website this morning, but now website down. Help?","@customer I'm sorry your order hasn't reached the store yet Christian! Can you please DM me your order number, full name and full address?","@Tesco Thanks Shannon, DM sent"
tesco-2699352,1,tesco-2394863,2394863,32.43121952550813,0.9604342993212591,positive_followup_proxy,[],@Tesco hello! <name_redacted> do your priority Christmas delivery slots become available? 🎄,"@customer Hi <name_redacted>, all Delivery Saver customers get access to Priority Slots on the 26th November. On this link is a handy calendar of our home shopping times over Christmas <media_or_link> Have a nice day :-)",@Tesco Thanks David! Just wanted to make sure it wasn't something I should be seeing now. Have a nice day too!
tesco-2699352,2,tesco-1532287,1532287,31.36740956270018,0.8848344669658339,positive_followup_proxy,"[""over_public_length_limit""]",@Tesco @customer when do those of us on delivery saver packages get to pre book Christmas delivery slots? Not had any info yet about it 😖,"@customer @customer Hi <name_redacted>, our Delivery Saver customers will be able to book their Christmas slots towards the end of November 1/3 @customer @customer However we'll be sending an email out to you in the next week with all the dates and information on how to pre-book your Christmas slot 2/3 @customer @customer Please keep your eyes peeled for the email! Kind regards - Aneurin 3/3",@Tesco @customer Thank you 😁🎄⛄️🎉 || @Tesco @customer And after that I’ve got my email 😂🤣 Thanks 👍🎅🎄
tesco-2699352,3,tesco-2582243,2582243,28.498563823586085,0.8657977286925387,positive_followup_proxy,[],@Tesco do those of us who have delivery saver not get priority over Christmas delivery slots anymore? It’s a rumour I’m hoping has no factual basis to it!,"@customer Hi there, we will be sending out an email shortly with all the details you need on how to book your Christmas slots. Please keep your eyes peeled.","@Tesco Hi! This is great news, thank you :)"
tesco-516771,1,tesco-1887839,1881181,20.676856676870557,0.9111273488054343,positive_followup_proxy,[],"@Tesco @customer Hi, I have DM’ed you the details. Still missing my order and not received any confirmation that it has been delivered to store","@customer @customer Hi <name_redacted>, I have private mailed you. TY",@Tesco @customer Thank you. I have sent a response to your DM
tesco-516771,2,tesco-1456959,1456959,23.19024517785599,0.79,no_customer_followup,[],@Tesco I need help regarding my Clubcard with an order I placed on Tesco direct,"@customer Hi <name_redacted>, Thanks for getting in touch, I'll be more than happy to help! Could you explain what the issue is? Thanks",
tesco-516771,3,tesco-1639296,1639296,18.514681295192457,0.7346734864431236,positive_followup_proxy,"[""private_channel_request"", ""personal_data_request""]","@Tesco My Direct order was due to be at store yesterday. Still showing as despatched on website this morning, but now website down. Help?","@customer I'm sorry your order hasn't reached the store yet Christian! Can you please DM me your order number, full name and full address?","@Tesco Thanks Shannon, DM sent"
