query_order,candidate_order,retrieval_review_id,query_case_id,query_message,query_prior_context,candidate_message,candidate_reply,relevance_grade,relevance_reason,reviewer_id
1,1,retrieval-review-001,tesco-97692,@Tesco can you confirm when your festive food ordering system will be going live please? We're a non delivery saver customer thanks :),,@Tesco When will delivery saver Xmas slots be released please?,"@customer Hi <name_redacted>, it depends on whether you are a Deliver Saver customer or not, can you DM me with your account name, address and email? 1/2 @customer I can then send you the key dates for you. Ty Andrew 2/2",,,
1,2,retrieval-review-002,tesco-97692,@Tesco can you confirm when your festive food ordering system will be going live please? We're a non delivery saver customer thanks :),,@Tesco have I missed when Xmas slots are open for delivery saver folks?,@customer Hi <name_redacted>. Good news! You haven't missed it! 23rd November is the cut off to sign up to a delivery saver plan to book a Xmas slot. 1/2 @customer 26th November is the date delivery saver customers can book slots up to and including 23rd December. Thanks,,,
1,3,retrieval-review-003,tesco-97692,@Tesco can you confirm when your festive food ordering system will be going live please? We're a non delivery saver customer thanks :),,@Tesco That’s because I have paid upfront for delivery saver.......can you confirm you will be emailing me a money off code??,"@customer Hi <name_redacted>, I have sent you a £5 ecoupon to use on your next order. I hope you have no further issues.",,,
1,4,retrieval-review-004,tesco-97692,@Tesco can you confirm when your festive food ordering system will be going live please? We're a non delivery saver customer thanks :),,"@Tesco what the fudge is going with your festive food ordering. First order from 23rd Oct, Now 24th Nov WTF!!!!","@customer Hi <name_redacted>, sorry to hear of the issues you are having, can you please explain a little more about what the issue seems to be? TY",,,
2,1,retrieval-review-005,tesco-561011,@Tesco Hi <name_redacted> sent you a direct message if you could help please :-) Thanks,,"@Tesco Hi, <name_redacted> sent a private message, would somebody be able to answer it please 😊 thanks","@customer Hi <name_redacted>, I have replied to your DM. TY",,,
2,2,retrieval-review-006,tesco-561011,@Tesco Hi <name_redacted> sent you a direct message if you could help please :-) Thanks,,@Tesco sent the message,@customer Hi <name_redacted>. I have responded to your DM's. :),,,
2,3,retrieval-review-007,tesco-561011,@Tesco Hi <name_redacted> sent you a direct message if you could help please :-) Thanks,,@customer @Tesco Sent u direct message. Plz chk thanks,"@customer Hi there, I'm sorry about the poor standards in our shop. I would like to investigate this for you. Can you please confirm the store? 1/3 @customer Did you speak to anyone in store? Can you also please DM with full name, email &amp; contact number (Management may want to speak to you)? 2/3 @customer I will then feedback your complaint to the store, so there is a better availability of baskets in the future. TY - Rhuari 3/3",,,
2,4,retrieval-review-008,tesco-561011,@Tesco Hi <name_redacted> sent you a direct message if you could help please :-) Thanks,,"@Tesco Thanks, could you direct message me please?","@customer Hi <name_redacted>, we're unable to DM you but you can DM us through this link. :) <media_or_link>",,,
2,5,retrieval-review-009,tesco-561011,@Tesco Hi <name_redacted> sent you a direct message if you could help please :-) Thanks,,@Tesco Thanks message sent,@customer Hi <name_redacted>. I've updated your title on your card and sent you another replacement. It will have the correct details this time. You can keep using that card in the meantime though if you like and all the points will be shared. Thanks,,,
3,1,retrieval-review-010,tesco-2923097,"@Tesco another day, another Tesco van blocking my drive 🤬 sick of it now!",,@Tesco I now won't use you for games as the whole point of ordering was as a present for day of release. That present is now ruined. Thanks...,"@customer Hi <name_redacted>. Pre-ordered games are sent 24-48 hours before the day of release, with our aim being for it to arrive with you on release day. 1/2 @customer The delivery date quoted of November 7th is the latest date we would expect it to arrive. Regards - Aaron 2/2",,,
3,2,retrieval-review-011,tesco-2923097,"@Tesco another day, another Tesco van blocking my drive 🤬 sick of it now!",,@Tesco I had my van washed by your hand car wash and when I got to my van it was parked very close to another and realised it's been damaged,"@customer Hi, I am very sorry to hear this! However I would need to ask you to return to store and report it with them so they may investigate 1/3 @customer Especially as there has been a third party involved. Alternatively, for Waves car wash complaints and claims you can contact them 2/3 @customer Either directly on <number_redacted> or __email__ so they can investigate the matter further. TY - Martin 3/3",,,
3,3,retrieval-review-012,tesco-2923097,"@Tesco another day, another Tesco van blocking my drive 🤬 sick of it now!",,"Hey @Tesco why is it that I can not secure a slot for delivery for the whole month? 9/11 through to 28/11 ""no slots available! Try another day""","@customer Hi <name_redacted>, I'm sorry you're having difficulty booking a delivery slot 1/4 @customer I appreciate this must be frustrating and I'd like to get this resolved for you as soon as possible 2/4 @customer Firstly can you please try adding your address to the address book under My Account using a different nickname 3/4 @customer Once this is done just go to the Book a Slot page and select the new nickname from the dropdown beforehand. - Aneurin 4/4",,,
3,4,retrieval-review-013,tesco-2923097,"@Tesco another day, another Tesco van blocking my drive 🤬 sick of it now!",,"Another day, another out of date product in @Tesco. No lunch for me now then. <media_or_link>","@customer Hi there, I'm ever so sorry about the out of date Couscous you have purchased. I can totally understand the frustration caused by this. 1/3 @customer If you can DM your name, address, email address, store name, price paid? I'll ensure you're reimbursed in the form of a Tesco Moneycard. 2/3 @customer As well as documenting this on our system, and notifying the store of the matter. Regards - Isaac 3/3",,,
3,5,retrieval-review-014,tesco-2923097,"@Tesco another day, another Tesco van blocking my drive 🤬 sick of it now!",,@tesco thanks for blocking the road with all your trolleys at the busiest time of the day! <media_or_link>,"@customer Hi there, sorry to see these aren't put away properly. Can you confirm the store so that I can call our management team. Thanks",,,
4,1,retrieval-review-015,tesco-547281,@Tesco you should do this <media_or_link>,,@Tesco should my ham be turning green/grey?? 🤢🤢🤢 <media_or_link>,"@customer Hi <name_redacted>, I'm sorry to learn about your grey/green ham. If possible could you please send us some details via DM? 1/4 @customer Can you send your name, address, postcode, barcode, supplier code, batch number and a photo of your full receipt please. 2/4 @customer Then I will be more than happy to Issue you with a refund and log this incident. Would you like your Moneycard via email or post? 3/4 @customer Lastly do you mind if we pass your details on to our suppliers? Thanks - Callum 4/4",,,
4,2,retrieval-review-016,tesco-547281,@Tesco you should do this <media_or_link>,,"Dear @Tesco, big knives should be kept out of the sight and reach of small children. Lisburn store. Cheers! <media_or_link>","@customer Hi <name_redacted>, I completely agree with you! Can you just confirm that this was in our Lisburn Superstore so I can deal with this? Thanks",,,
4,3,retrieval-review-017,tesco-547281,@Tesco you should do this <media_or_link>,,"@Tesco this should have #BrownSauce in it, not #Red <media_or_link>","@customer Hi <name_redacted>, I'm sorry to hear you don't like our choice of sauce! Could you DM me your name, address and postcode I can log your feedback -Nick",,,
4,4,retrieval-review-018,tesco-547281,@Tesco you should do this <media_or_link>,,@Tesco This should be done automatically,"@customer Hi there, I have logged the details of the complaint on our system, for review from our supplier, thanks for contacting us, Andy",,,
4,5,retrieval-review-019,tesco-547281,@Tesco you should do this <media_or_link>,,@Tesco That should have been in the initial tweet!! 😂 <media_or_link>,"@customer Wow, they look really good! I hope they tasted as good as they look. :)",,,
5,1,retrieval-review-020,tesco-2852985,@Tesco Your self service checkouts need a serious software update particularly with regard Scan and Pack...,,@Tesco are the self service checkouts also supposed to be self cleaning? <media_or_link>,@customer Hi there. What store did you see this in? I'll call the store and ask them to give them a clean. TY- Charlotte,,,
