case_id,conversation_id,created_at,message,prior_context,historical_reply,customer_followup,private_handoff_proxy,positive_outcome_proxy,unresolved_outcome_proxy,split,selection_intent
tesco-1307697,1307697,Thu Oct 26 17:45:45 +0000 2017,@Tesco didn’t have the 2 bags of marshmallows I ordered so they gave me EIGHTEEN FLUMPS! I’m equally amused and delighted 😂👏🏻👏🏻,,@customer Glad to hear you were delighted Rachel :) Enjoy!,,False,False,False,train,delivery_or_collection
tesco-2644166,2644166,Mon Oct 30 19:31:37 +0000 2017,@Tesco have Tesco got issues with website the second week my home delivery has had things wrong!!#nothappy,,"@customer Hi <name_redacted>, we're experiencing technical issues with the website, our IT Team are aware of the issues. 1/2 @customer They're working hard to get these issues resolved. Sorry for any inconvenience caused. Ty - James 2/2",@Tesco I am £5 out of pocket as the voucher I added did not get used as your website deleted it!!,False,False,False,train,delivery_or_collection
tesco-2220555,2220555,Fri Nov 10 09:51:25 +0000 2017,@Tesco I pre ordered Need For Speed Payback like 2 months ago and today is the release day but I haven't received any information about the delivery status so am I getting it today or tomorrow,,"@customer Hi <name_redacted>, can you provide DM your order number, full name and email address please? I'll do my best to find out. Thanks",,True,False,False,train,delivery_or_collection
tesco-441521,441529,Sun Nov 05 21:28:43 +0000 2017,@Tesco bicester Lakeview drive.,"[Customer] Why has @Tesco #Bicester stopped selling walkers poppadom sensations multi pack?? Just selling grab bags is not healthy. || [Tesco] @customer Hi <name_redacted>, which flavour are you referring to? Thanks || [Customer] @Tesco multipacks have 2 types a chilli &amp; a lime, 3 packets of each. Only have HUGE packets of individual flavours. Just want a small bag. || [Tesco] @customer Hi <name_redacted>, I'm sorry you couldn't find the item you were looking for. Can you confirm branch this was in order to investigate? TY","@customer Hi <name_redacted>, I am sorry, however we do not sell the ones that you would like. I can certainly feed this back. 1/2 @customer We can record this under your name and address or anonymously. What would you prefer? - Allyn 2/2",@Tesco They did. Am annoyed they stopped yet another product || @Tesco My name is fine,False,False,False,train,delivery_or_collection
tesco-2886646,2886646,Mon Nov 13 19:32:17 +0000 2017,@Tesco completely let down once again by your delivery service and customer service team! No shopping and no apology!!!,,"@customer Hi <name_redacted>, thanks for getting in touch, I'm really sorry to hear that you feel you've been let down by our home shopping service. Please can you DM an elaboration on the issue, the full name, address &amp; email on your account? TY- Hannah.",,True,False,False,train,delivery_or_collection
tesco-690809,690809,Sat Oct 28 15:29:19 +0000 2017,How rubbish are @Tesco you make an order for delivery and less than an hour and half before delivery then we can arrange delivery for Monday,,"@customer Hi there, thank you for getting in touch, I'm sorry to hear of this issue, I'd like to look into this further for you. 1/2 @customer Please can you DM an elaboration on this issue, the full name, address &amp; email address registered to your account? TY- Hannah. 2/2",,True,False,False,train,delivery_or_collection
tesco-1096093,1096083,Tue Oct 24 21:58:19 +0000 2017,"@Tesco Thank you, Alisha.","[Customer] @Tesco I'm sure that's true Joanne, but how much of the plastic is recyclable? || [Tesco] @customer Since 2007 we've reduced packaging by 37% on loose and packaged food. TY - Joanne 2/2 || [Customer] @Tesco Great but not my question. How much of your packaging plastic is recyclable? How much of what your drivers/stores recover is recycled? || [Tesco] @customer Hi <name_redacted>, I will look into this query for you.",@customer Good morning <name_redacted> :) I've sent you a DM,"@Tesco Good morning, <name_redacted>. And I've responded to you in both DM and on my feed. Louise || @Tesco Hi <name_redacted>, Can @Tesco answer my question about how much of its plastic packaging is 1. recyclable and 2. recycled by Tesco please?",True,False,False,train,delivery_or_collection
tesco-1705543,1705543,Mon Nov 06 15:07:16 +0000 2017,Seriously @Tesco ?? I can’t have a refund on these eggs unless I hand them ALL back to the driver? I pay for YOUR breakages now do I? <media_or_link>,,"@customer Hi <name_redacted>, I'm sorry that you have been in receipt of broken eggs on your order. What exactly happened with the refund request? 1/3 @customer Please DM your full name, address, postcode and email address and I'll have it sorted for you. Thanks - Craig 3/3 @customer Did the driver say he could only refund the items if he was able to return them to store? 2/3",,True,False,False,train,delivery_or_collection
tesco-1943042,1943042,Sun Oct 29 12:06:03 +0000 2017,Hi @Tesco when you pay for a scheduled delivery and it doesn't arrive on time #refund?,,"@customer Hi <name_redacted>, thanks for getting in touch, I'm really sorry to learn that your delivery was late, I'd like to look into this. 1/2 @customer Please can you DM the time your order arrived, the full name, address and email address registered to your account? TY- Hannah. 2/2",,True,False,False,train,delivery_or_collection
tesco-956548,956550,Sat Oct 21 19:02:27 +0000 2017,@Tesco @Tesco Responsive 24/7 but only to easy tweets! Not good enough!,"[Customer] Had a home delivery from @Tesco didn't check eggs, left them on the table over night and now table stained, £800 table wrecked! <media_or_link> || [Customer] @Tesco @Tesco We will be taking this further, I can not believe you can not be bothered to reply to this!","@customer Hi <name_redacted>, I'e replied to your DM.",@Tesco Thanks Mart.,True,True,False,train,delivery_or_collection
tesco-2269454,2269454,Sat Nov 11 08:50:02 +0000 2017,"@Tesco Hi, bought TV (Order Number - 4MYBQ3XVW) and it has broken after 6 weeks :( Can I take back to store and change? swap for different one (happy to pay a little extra if needed) ... thanks, Dave",,"@customer Hi <name_redacted>, thanks for getting in touch, I'm sorry you are having a problem with your TV. Can you please DM me with your full name (if different to your profile), postal and email addresses. I also need details of the fault. Thanks",,True,False,False,train,delivery_or_collection
tesco-1834535,1834539,Wed Oct 18 11:19:09 +0000 2017,@Tesco What about the empty freezers? Thanks for investigating I had no choice but get them yesterday as I can't get there now.,"[Tesco] @customer Hi there, can you tell which store this was so that we can look into this for you ? TY || [Customer] @Tesco Tesco Highwoods Colchester || [Tesco] @customer The good news is that they're receiving another delivery today. I hope that this helps - Laura :) 2/2","@customer Hi, was there a particular product from the freezer you were looking for? I can then look into this for you. TY, Andrea","@Tesco No, they're just emptied most nights from 6pm onwards...",False,False,False,train,delivery_or_collection
tesco-2509718,2509719,Wed Nov 15 22:39:41 +0000 2017,@Tesco Difficult to see a number plate when it’s 6 inches from your rear bumper. However it was on the A37 from temple cloud towards Tesco Paulton. Around 18:10 tonight,"[Customer] I would like to thank the Tesco home delivery driver that insisted on driving so close behind me today that he illuminated the inside of my car. Made it really easy to drive home! Paulton Tesco, not impressed 😡 @Tesco || [Tesco] @customer Hi <name_redacted>, I am sorry my colleague was tailgating you and this is very concerning to hear. Can you please tell me if you captured the registration number? Can you also let me know the time and address of where this happened? TY","@customer Hi <name_redacted>, thank you for getting back to us, I have to be honest without a registration number, it would be almost impossible for the store to pinpoint the van. TY",,False,False,False,train,product_quality_or_safety
tesco-1058188,1058189,Mon Oct 23 12:28:13 +0000 2017,"@Tesco I'll get back to you later, thanks for the reply, though!","[Customer] Hmm... @Tesco seem to've replaced the chocolat in their pain au chocolat with some kind of sickly sweet paste. Is this true? || [Tesco] @customer I will need your full name, address and email. Regards - Stacey. 2/2","@customer Thanks, we'll look out for your message",,False,False,False,train,product_quality_or_safety
tesco-773747,773748,Thu Oct 12 01:33:29 +0000 2017,@Delta Sorry wanted to ask @Tesco,[Customer] @Delta why does my pee hurt?,"@customer Hi <name_redacted>, how can I help? TY",@Tesco h,False,False,False,train,product_quality_or_safety
tesco-2433454,2433452,Wed Nov 15 10:35:20 +0000 2017,@Tesco could it be made possible to opt out of having these bags? They are not reusable. Can they be recycled?,"[Customer] @Tesco I asked for no plastic bags but shopping delivered with ur bags for fruit, veg, meat, toiletries... Can we opt out of this please? || [Tesco] @customer Hi there, the only bags you should get if opted out is red bags for meat, to prevent contamination. I'm sorry you've received other bags. Can you please DM your full name, address and email so I can access your account? Thanks || [Customer] @Tesco should we get fruit and veg without plastic bags if we've opted out then? That would be v welcome 😊 || [Tesco] @customer Hi, thank you for getting back to us, if they are loose then they will be put in small plastic produce bags. TY","@customer Hi there, we can certainly query this for you and log your feedback for consideration. Please could you DM your full name, address and email address? These details will help us find the online account.",,True,False,False,train,product_quality_or_safety
