retrieval_review_id,query_case_id,candidate_case_id,sample_slice,retrieved_by,bm25_rank,outcome_rank,outcome_tier,lexical_score,rerank_score
retrieval-review-001,tesco-97692,tesco-1500065,natural,bm25,2,,,17.694073244799547,
retrieval-review-002,tesco-97692,tesco-35381,natural,outcome,,2,positive_followup_proxy,13.35148702723593,0.7693118157414256
retrieval-review-003,tesco-97692,tesco-1573151,natural,bm25;outcome,3,3,no_customer_followup,17.29633154784917,0.733430509975103
retrieval-review-004,tesco-97692,tesco-1908778,natural,bm25;outcome,1,1,no_customer_followup,18.577973612423293,0.7899999999999999
retrieval-review-005,tesco-561011,tesco-2509725,natural,bm25;outcome,2,1,positive_followup_proxy,19.047724328932837,0.8990999866755129
retrieval-review-006,tesco-561011,tesco-1228084,natural,outcome,,2,positive_followup_proxy,14.548429863466652,0.717429606861006
retrieval-review-007,tesco-561011,tesco-1011986,natural,bm25,3,,,17.639806687676113,
retrieval-review-008,tesco-561011,tesco-801272,natural,bm25,1,,,20.308326901993194,
retrieval-review-009,tesco-561011,tesco-2562710,natural,outcome,,3,positive_followup_proxy,14.548429863466652,0.717429606861006
retrieval-review-010,tesco-2923097,tesco-1350718,natural,outcome,,2,positive_followup_proxy,7.408407519041177,0.6333978326262939
retrieval-review-011,tesco-2923097,tesco-1714832,natural,bm25,3,,,11.089147736181786,
retrieval-review-012,tesco-2923097,tesco-2149585,natural,outcome,,3,positive_followup_proxy,7.6581239655467535,0.5986805901319745
retrieval-review-013,tesco-2923097,tesco-1334467,natural,bm25,1,,,13.398595512521787,
retrieval-review-014,tesco-2923097,tesco-1261415,natural,bm25;outcome,2,1,positive_followup_proxy,12.810935770771327,0.9640349626358202
retrieval-review-015,tesco-547281,tesco-1735986,challenge,bm25,3,,,8.335546335673461,
retrieval-review-016,tesco-547281,tesco-1295743,challenge,outcome,,3,positive_followup_proxy,6.099084021167634,0.7524893507817161
retrieval-review-017,tesco-547281,tesco-1808640,challenge,bm25,2,,,8.735968434222247,
retrieval-review-018,tesco-547281,tesco-739364,challenge,outcome,,2,positive_followup_proxy,6.107371925462049,0.7532672933272497
retrieval-review-019,tesco-547281,tesco-1574518,challenge,bm25;outcome,1,1,no_customer_followup,8.735968434222247,0.7899999999999999
retrieval-review-020,tesco-2852985,tesco-2162791,natural,bm25;outcome,2,1,no_customer_followup,17.313959706664235,0.7635142399682125
retrieval-review-021,tesco-2852985,tesco-1388110,natural,outcome,,3,unclassified_followup,14.848048792097334,0.6804993399480446
retrieval-review-022,tesco-2852985,tesco-2104614,natural,bm25;outcome,1,2,private_handoff_without_outcome,17.891861600408593,0.69
retrieval-review-023,tesco-2852985,tesco-1876849,natural,bm25,3,,,16.149544571061845,
retrieval-review-024,tesco-2855864,tesco-886113,challenge,outcome,,3,positive_followup_proxy,10.267796023513482,0.5542310814882235
retrieval-review-025,tesco-2855864,tesco-979739,challenge,bm25,2,,,13.794468096131919,
retrieval-review-026,tesco-2855864,tesco-1222756,challenge,outcome,,2,positive_followup_proxy,12.295822142817745,0.6281466916323661
retrieval-review-027,tesco-2855864,tesco-1397423,challenge,bm25;outcome,1,1,no_customer_followup,22.49837909186601,0.79
retrieval-review-028,tesco-2855864,tesco-2126924,challenge,bm25,3,,,13.791384330315374,
retrieval-review-029,tesco-514149,tesco-2265943,natural,outcome,,2,positive_followup_proxy,12.294290857855081,0.6952630591512738
retrieval-review-030,tesco-514149,tesco-1207651,natural,outcome,,3,positive_followup_proxy,13.27641407807832,0.6864245885771374
retrieval-review-031,tesco-514149,tesco-2137985,natural,bm25,2,,,17.12330633725682,
