display_order,case_id,sample_slice,conversation_id,tweet_id,created_at,message,prior_context,challenge_flags,intent_label,secondary_intent,handling_label,reason_code,risk_tags,must_include,must_avoid,annotator_id,annotation_notes
1,tesco-2950175,natural,2950175,2950175,Wed Nov 29 17:13:11 +0000 2017,@Tesco <media_or_link>,,image_or_link_dependent;short_message,,,,,,,,,
2,tesco-1726133,natural,1726133,1726133,Thu Nov 30 17:57:14 +0000 2017,@Tesco should be called scan and don't go. 3 times I've tried 3 times I've ended upscanning my shopping again. My club card no longer works in the kiosk and 3 calls to club card and 45 mins in store and still not working. Better training for staff required on error codes.,,repeated_failure,,,,,,,,,
3,tesco-570535,natural,570535,570535,Sat Dec 02 20:23:00 +0000 2017,@Tesco Someone in Tesco can’t spell! <media_or_link>,,image_or_link_dependent,,,,,,,,,
4,tesco-585163,natural,585163,585163,Sun Dec 03 13:02:51 +0000 2017,"Never use @Tesco direct. I ordered an item Thursday, due Saturday and it’s still not at the store! Apparently the cage is missing! Unbelievable. #notgoodenough",,repeated_failure,,,,,,,,,
5,tesco-2699352,challenge,83775,2699352,Mon Nov 27 21:25:41 +0000 2017,@Tesco Many thanks private message sent,"[Customer] @Tesco Can only see it up to 23rd and all unavailable when is the 24th releaaed to delivery saver customers in the hope I can get one of those! || [Tesco] @customer Hi <name_redacted>, Christmas Eve slots are only available for customer's that are covered by our Customer Fulfilment Centres and are available now for our Delivery Saver customers. Ty || [Customer] @Tesco Ty James have just been on again this morning and bow the 24th is showing for my store but surprise surprise there is no longer any availability! It was definitely not showing yesterday so been added since I last logged in! Beginning to think my delivery saver is a waste of time || [Tesco] @customer Hello, I am very sorry the slot has gone for the 24th. Can you DM us your full name, email address and full home address details from your account so we can look into this further for you? Thanks",account_or_order;repeated_failure;short_message,,,,,,,,,
6,tesco-516771,natural,516771,516771,Fri Dec 01 20:14:55 +0000 2017,@Tesco I placed a Tesco direct order and was due to collect the item on Wednesday but I still haven't had any confirmation that it has arrived in store. Please help. I need it!!!,,punctuation_heavy;repeated_failure;strong_distress,,,,,,,,,
7,tesco-504344,natural,504344,504344,Fri Dec 01 18:43:39 +0000 2017,So mad! @Tesco doing 5 for €5 and I’ve just gotten home and realised I was charged for every item individually 😡😡😡,,money,,,,,,,,,
8,tesco-2824379,natural,2824379,2824379,Sun Nov 26 10:09:58 +0000 2017,Really frustrated @Tesco tried yesterday and today to order clothing for pick up. It keeps saying this option is not available! Why give me those as an option!!,,punctuation_heavy;strong_distress,,,,,,,,,
9,tesco-628221,natural,628221,628221,Wed Nov 22 14:57:42 +0000 2017,@Tesco I’ve been charged for a meal I returned as it was a bad substitute what do I do?!,,money,,,,,,,,,
10,tesco-496166,natural,496166,496166,Mon Nov 27 12:45:47 +0000 2017,"@Tesco I ordered something on direct yesterday to my old address by accident, wouldn't let me change or cancel online so rang up. the bloke told me there was nothing he could do so I've paid for an item that's being delivered to my old address which I've no access to?",,,,,,,,,,,
