case_id,system_name,handling_decision,proposed_draft,draft_was_replaced,draft_reply,proposed_warning_flags,proposed_warning_count,static_warning_flags,static_warning_count
tesco-2950175,tescogpt_guarded_template_v1_policy_v1,ESCALATE,"Thanks for contacting Tesco. The issue isn't clear enough to answer safely from the information visible here, so a colleague should review it.",False,"Thanks for contacting Tesco. The issue isn't clear enough to answer safely from the information visible here, so a colleague should review it.",[],0,[],0
tesco-1726133,tescogpt_guarded_template_v1_policy_v1,ESCALATE,I'm sorry about your store experience. A colleague should review the details before Tesco responds. Please don't share personal information publicly.,False,I'm sorry about your store experience. A colleague should review the details before Tesco responds. Please don't share personal information publicly.,[],0,[],0
tesco-570535,tescogpt_guarded_template_v1_policy_v1,ESCALATE,"Thanks for contacting Tesco. The issue isn't clear enough to answer safely from the information visible here, so a colleague should review it.",False,"Thanks for contacting Tesco. The issue isn't clear enough to answer safely from the information visible here, so a colleague should review it.",[],0,[],0
tesco-585163,tescogpt_guarded_template_v1_policy_v1,ESCALATE,I'm sorry about the delivery or collection issue. A support colleague needs to check the order before Tesco can advise further. Please don't post order or contact details publicly.,False,I'm sorry about the delivery or collection issue. A support colleague needs to check the order before Tesco can advise further. Please don't post order or contact details publicly.,[],0,[],0
tesco-2699352,tescogpt_guarded_template_v1_policy_v1,ESCALATE,I'm sorry about the delivery or collection issue. A support colleague needs to check the order before Tesco can advise further. Please don't post order or contact details publicly.,False,I'm sorry about the delivery or collection issue. A support colleague needs to check the order before Tesco can advise further. Please don't post order or contact details publicly.,[],0,[],0
tesco-516771,tescogpt_guarded_template_v1_policy_v1,ESCALATE,I'm sorry about the delivery or collection issue. A support colleague needs to check the order before Tesco can advise further. Please don't post order or contact details publicly.,False,I'm sorry about the delivery or collection issue. A support colleague needs to check the order before Tesco can advise further. Please don't post order or contact details publicly.,[],0,[],0
tesco-504344,tescogpt_guarded_template_v1_policy_v1,ESCALATE,I'm sorry about the pricing or Clubcard issue. A colleague needs to verify the transaction or offer before Tesco can advise. Please don't post account or payment details publicly.,False,I'm sorry about the pricing or Clubcard issue. A colleague needs to verify the transaction or offer before Tesco can advise. Please don't post account or payment details publicly.,[],0,[],0
tesco-2824379,tescogpt_guarded_template_v1_policy_v1,ESCALATE,I'm sorry about the delivery or collection issue. A support colleague needs to check the order before Tesco can advise further. Please don't post order or contact details publicly.,False,I'm sorry about the delivery or collection issue. A support colleague needs to check the order before Tesco can advise further. Please don't post order or contact details publicly.,[],0,[],0
tesco-628221,tescogpt_guarded_template_v1_policy_v1,ESCALATE,I'm sorry about the delivery or collection issue. A support colleague needs to check the order before Tesco can advise further. Please don't post order or contact details publicly.,False,I'm sorry about the delivery or collection issue. A support colleague needs to check the order before Tesco can advise further. Please don't post order or contact details publicly.,[],0,[],0
tesco-496166,tescogpt_guarded_template_v1_policy_v1,ESCALATE,I'm sorry about the delivery or collection issue. A support colleague needs to check the order before Tesco can advise further. Please don't post order or contact details publicly.,False,I'm sorry about the delivery or collection issue. A support colleague needs to check the order before Tesco can advise further. Please don't post order or contact details publicly.,[],0,[],0
tesco-552728,tescogpt_guarded_template_v1_policy_v1,ESCALATE,I'm sorry about the delivery or collection issue. A support colleague needs to check the order before Tesco can advise further. Please don't post order or contact details publicly.,False,I'm sorry about the delivery or collection issue. A support colleague needs to check the order before Tesco can advise further. Please don't post order or contact details publicly.,[],0,[],0
tesco-479890,tescogpt_guarded_template_v1_policy_v1,AUTO_HANDLE,I'm sorry about your store experience. A colleague should review the details before Tesco responds. Please don't share personal information publicly.,False,I'm sorry about your store experience. A colleague should review the details before Tesco responds. Please don't share personal information publicly.,[],0,[],0
tesco-89598,tescogpt_guarded_template_v1_policy_v1,ESCALATE,I'm sorry about the delivery or collection issue. A support colleague needs to check the order before Tesco can advise further. Please don't post order or contact details publicly.,False,I'm sorry about the delivery or collection issue. A support colleague needs to check the order before Tesco can advise further. Please don't post order or contact details publicly.,[],0,[],0
tesco-2820812,tescogpt_guarded_template_v1_policy_v1,ESCALATE,"I'm sorry you're having trouble online. A support colleague needs to review the account or checkout issue. Please don't post login, order, or contact details publicly.",False,"I'm sorry you're having trouble online. A support colleague needs to review the account or checkout issue. Please don't post login, order, or contact details publicly.",[],0,[],0
