display_order,case_id,conversation_id,tweet_id,created_at,message,prior_context,intent_label,secondary_intent,handling_label,reason_code,risk_tags,must_include,must_avoid,annotator_id,annotation_notes
1,tesco-2699352,83775,2699352,Mon Nov 27 21:25:41 +0000 2017,@Tesco Many thanks private message sent,"[Customer] @Tesco Can only see it up to 23rd and all unavailable when is the 24th releaaed to delivery saver customers in the hope I can get one of those! || [Tesco] @customer Hi Christa, Christmas Eve slots are only available for customer's that are covered by our Customer Fulfilment Centres and are available now for our Delivery Saver customers. Ty || [Customer] @Tesco Ty James have just been on again this morning and bow the 24th is showing for my store but surprise surprise there is no longer any availability! It was definitely not showing yesterday so been added since I last logged in! Beginning to think my delivery saver is a waste of time || [Tesco] @customer Hello, I am very sorry the slot has gone for the 24th. Can you DM us your full name, email address and full home address details from your account so we can look into this further for you? Thanks",,,,,,,,,
2,tesco-2946158,2946159,2946158,Wed Nov 29 16:00:35 +0000 2017,@Tesco I believe this may have been the case. It has now changed to ‘Ready For Collection’. Thanks for your help,"[Customer] @Tesco Any idea why part of my Click&amp;Collect order would be showing as Collected when I haven’t even been in to pick it up as of yet? || [Tesco] @customer Hi Aaron. It may be that this is the status when it has been delivered to store but if you can DM me your full name, address and order number I'll double check for you? Ty",,,,,,,,,
3,tesco-2519910,2519913,2519910,Sun Nov 26 19:32:25 +0000 2017,@Tesco I'll give you a clue: there's not enough chicken!,[Customer] @Tesco can you spot the deliberate(?) mistake in this picture? <media_or_link>,,,,,,,,,
4,tesco-454716,454716,454716,Thu Nov 30 21:47:47 +0000 2017,Hey @Tesco I have just found a piece of rope in my Green Thai Chicken soup. I only wanted to enjoy my dinner for one... no strings attached. #stillhungry <media_or_link>,,,,,,,,,,
5,tesco-504344,504344,504344,Fri Dec 01 18:43:39 +0000 2017,So mad! @Tesco doing 5 for €5 and I’ve just gotten home and realised I was charged for every item individually 😡😡😡,,,,,,,,,,
6,tesco-562470,562470,562470,Sat Dec 02 16:37:49 +0000 2017,Tesco delivery vehicle both parked blocking road and parked across pavement driver abusive when challenged @Tesco please retrain and have a word with driver about his attitude <media_or_link>,,,,,,,,,,
7,tesco-2944940,2944944,2944940,Wed Nov 29 15:34:21 +0000 2017,@Tesco half one quarter to two,"[Customer] @Tesco you need more staff on your Customer Service / Tobacco Desk, you’ve got people buying cigarettes, returning things and ordering their Christmas food with two members of staff! || [Customer] @Tesco Your store in Princess Road Chelmsford! || [Tesco] @customer Hi Sean, I'm really sorry about this. I'd like to feed this information back to the store Management. Could you let me know what time you visited the store? Thanks",,,,,,,,,
8,tesco-603618,603619,603618,Sun Dec 03 13:40:34 +0000 2017,@Tesco It's smaller than it looks; I have tiny child hands.,"[Customer] @Tesco have you thought about a warning system on your online shopping, in case anyone accidentally buys a tiny bottle of champagne? <media_or_link>",,,,,,,,,
9,tesco-104151,104152,104151,Thu Nov 30 18:31:26 +0000 2017,@Tesco Sent 👍👍,"[Customer] @Tesco any idea where my order is?? Was supposed to be ready to collect from Tuesday the 28th Nov... still showing as dispatched. Order No. 4PBN7KMFT || [Tesco] @customer Hi Dan, thanks for getting in touch. Please can you DM your full name, address, postcode and email address so that I can check our records for you?",,,,,,,,,
10,tesco-516771,516771,516771,Fri Dec 01 20:14:55 +0000 2017,@Tesco I placed a Tesco direct order and was due to collect the item on Wednesday but I still haven't had any confirmation that it has arrived in store. Please help. I need it!!!,,,,,,,,,,
11,tesco-470973,470973,470973,Fri Dec 01 00:42:55 +0000 2017,@Tesco I set up Tesco Pay+ via Tesco Clubcard App at first and £2 is deducted. Later I installed Tesco Pay+ App on my iPhone and another £2 is deducted. Will I get my £4 back? <media_or_link>,,,,,,,,,,
12,tesco-538156,538156,538156,Sat Dec 02 13:27:44 +0000 2017,What a disappointment ☹️ didn’t realise this #gluten-free mac &amp; cheese was also dairy free. You cannot make cheese out of coconut oil. Even the cats won’t eat it 😩 @Tesco pls can we have just a gluten free one?? #coeliac <media_or_link>,,,,,,,,,,
13,tesco-2611817,2611817,2611817,Fri Nov 17 10:09:35 +0000 2017,@Tesco regarding saving stamps in rainham essex and lakeside essex stores what is happening with these machines no stamps for 2 + months people rely on these especially for Christmas please advise,,,,,,,,,,
14,tesco-569680,569680,569680,Sat Dec 02 20:27:41 +0000 2017,@Tesco Why did you change the recipe for this? It’s gross now and diner is ruined! :( It was perfect before! <media_or_link>,,,,,,,,,,
15,tesco-2824379,2824379,2824379,Sun Nov 26 10:09:58 +0000 2017,Really frustrated @Tesco tried yesterday and today to order clothing for pick up. It keeps saying this option is not available! Why give me those as an option!!,,,,,,,,,,
16,tesco-461646,461646,461646,Thu Nov 30 19:26:00 +0000 2017,"Do a click and collect with @Tesco, cause lazy, order an Xbox and controller and apparently one parcel is lost. No prizes for guessing which one it is 🤦🏻‍♀️ (it's not the controller).",,,,,,,,,,
17,tesco-537001,537001,537001,Sat Dec 02 12:54:26 +0000 2017,"@Tesco I bought my sons a onesie from store, they removed the labels and tried them on, no good. I still have the receipt and labels, can I return them? Thanks",,,,,,,,,,
18,tesco-547256,547260,547256,Sat Dec 02 16:40:54 +0000 2017,@Tesco Literally half of the point of purchasing this item is now gone.(surprise) because of someone within your company simply just being lazy...,"[Customer] @Tesco If you think £10 is some how acceptable for this... then you are crazy, if anything I should have half of my money refunded... <media_or_link>",,,,,,,,,
19,tesco-585163,585163,585163,Sun Dec 03 13:02:51 +0000 2017,"Never use @Tesco direct. I ordered an item Thursday, due Saturday and it’s still not at the store! Apparently the cage is missing! Unbelievable. #notgoodenough",,,,,,,,,,
20,tesco-514149,514149,514149,Fri Dec 01 21:37:29 +0000 2017,"I’m so sad @Tesco have sold their opticians to @customer, I moved to Tesco because vision express have the worst customer service I’ve ever come across 😡 off to @customer I go!",,,,,,,,,,
21,tesco-2846465,2846465,2846465,Mon Nov 27 15:21:51 +0000 2017,@Tesco How long does it take to convert points to Avios vouchers? I've been waiting over a week now... Thanks.,,,,,,,,,,
22,tesco-2937805,2937805,2937805,Wed Nov 29 11:17:25 +0000 2017,@customer @Tesco Thank you for supporting our Christmas Fayre. The baking and making has begun <media_or_link>,,,,,,,,,,
23,tesco-97692,97692,97692,Thu Nov 30 15:07:28 +0000 2017,@Tesco can you confirm when your festive food ordering system will be going live please? We're a non delivery saver customer thanks :),,,,,,,,,,
24,tesco-514147,514147,514147,Fri Dec 01 18:22:48 +0000 2017,"@Tesco @customer Order Number - 4P8M433NJ Parcel Number - ‍<number_redacted> Ordered 23/11. Scheduled for delivery 27/11. Despite 2 x emails have yet to receive the goods. Please action urgently, delivery tomorrow?? #hackedoff",,,,,,,,,,
25,tesco-66073,66073,66073,Thu Nov 30 08:32:48 +0000 2017,@Tesco @customer 4yr wedding anniversary today and my wife bought me the classic chocolate pack....1 bar for each year. Open it this morning and 1 bar is missing....my wife didn’t eat it!! 😞😞😞 #dairymilkismyfavourite <media_or_link>,,,,,,,,,,
26,tesco-2267056,2267056,2267056,Fri Dec 01 11:36:51 +0000 2017,Anyone else find the new and 'improved' @Tesco website terrible? 2 hours to do online food shop is ridiculous! Considering cancelling saver deliver and moving to @sainsburys deliveries. Heard good things about them.,,,,,,,,,,
27,tesco-452145,452145,452145,Thu Nov 30 20:26:02 +0000 2017,"@Tesco Hi there, have you stopped selling Canadian cheddar..? It no longer seems to be stocked by your stretford store... it was the nicest cheese ever! 🧀☹️☹️",,,,,,,,,,
28,tesco-585177,585177,585177,Sun Dec 03 12:31:46 +0000 2017,Well done @Tesco almost everyone except Polish people get the Christmas wishes. Or you just implying that poles will understand english language anyways? #DoubleStandards #everyoneisequalbutsomearemoreequalthanothers <media_or_link>,,,,,,,,,,
29,tesco-2937169,2937169,2937169,Wed Nov 29 08:57:36 +0000 2017,@Tesco delivery worker at Newcastle St James Boulevard store smoking whilst wheeling delivery crates into shop from lorry. Smoke clearly wafting over fresh fruit being delivered.,,,,,,,,,,
30,tesco-2905888,2905888,2905888,Tue Nov 28 17:02:54 +0000 2017,@Tesco Do Widnes have LEGO Police Station 60141?,,,,,,,,,,
31,tesco-1950433,1950436,1950433,Sun Nov 26 01:18:57 +0000 2017,@Tesco I will visit the western ave store tomorrow. Thank you.,"[Customer] People who shop in Whitchurch @Tesco express in Whitchurch (Cardiff) had pizza from them last night, spent most of early morning in bathroom, bought one from same freezer today black and green, shop assistant said yes there’s 3 freezers with faulty doors. WTF disgraceful. || [Tesco] @customer We'll then be able to report your illness, you can also do this in a Metro store if that's more convenient for you. What else was said between you &amp; the colleagues in your local Express? TY - George 2/2",,,,,,,,,
32,tesco-518960,518960,518960,Fri Dec 01 22:41:59 +0000 2017,@Tesco Absolutely disgusted with the lack of care and customer services. Shopping has not turned up and I've had to call several times chasing it. Customer for 15 years &amp; have been treated appallingly. #shambles #uncaring,,,,,,,,,,
33,tesco-2934771,2934771,2934771,Wed Nov 29 08:06:09 +0000 2017,"@Tesco your turkey and trimmings sandwich, just had turkey spinach and cranberry inside. Where's the bacon and stuffing at",,,,,,,,,,
34,tesco-2941541,2941541,2941541,Wed Nov 29 11:45:35 +0000 2017,@Tesco pretty disgusted that you didn’t deliver my disabled mums food last night and told her it could be past 11pm due to delays and then never show up. She has no food in the house currently. Awful service! 😡,,,,,,,,,,
35,tesco-468994,469011,468994,Tue Nov 21 17:10:30 +0000 2017,@Tesco You don't seem to be able to add it to your basket online either :(,"[Tesco] @customer This has resulted in us not having enough stock. This has now been resolved and you should start to see it back on the shelves soon :) 2/2 || [Customer] @Tesco Thank you for looking into it. Hopefully it will be back v soon. It's odd that the employee in store told me something completely different || [Customer] @Tesco Hi. There's STILL no cat litter in store. Help please!! || [Tesco] @customer Hi Katy, Sorry to hear you've been unable to get cat litter. Can you let me know which store your looking to pick this up from and what cat littler? Thanks",,,,,,,,,
36,tesco-555532,555532,555532,Sat Dec 02 19:18:07 +0000 2017,@Tesco please can you tell me the name of your furniture courier in Sheffield?,,,,,,,,,,
37,tesco-1773780,1773782,1773780,Tue Nov 28 07:37:43 +0000 2017,"@Tesco Hi Rhuari, Yes, this isn’t the first time this store has had problems! I’m happy to receive it via email :)",[Customer] @Tesco selling out of date crisps again I see! 😂 <media_or_link> || [Tesco] @customer Has this happened before with this particular store? I would like to offer you a few extra quid as a goodwill gesture for this happening. What method would you like to receive your refund by - email or by post? TY - Rhuari 2/2,,,,,,,,,
38,tesco-479890,479890,479890,Fri Dec 01 11:40:54 +0000 2017,"@Tesco Hello..quick note to say how constantly impressed we are with the store in Sandy, Beds.. Really good store and the staff are so helpful and friendly. A job well done!",,,,,,,,,,
39,tesco-2219694,2219694,2219694,Sun Nov 26 13:39:51 +0000 2017,@Tesco - your kids meals in the cafe are a disgrace. £3 for chicken nuggets and chips is good but you only give three tiny nuggets. Seriously? Company policy apparently... <media_or_link>,,,,,,,,,,
40,tesco-2855864,2855864,2855864,Mon Nov 27 17:59:09 +0000 2017,@Tesco aplease could you tell me the minimum weight of your salmon fillets sold over the counter. The skinless and (allegedly) boneless ones (mine had a massive vertebra left in it!). Thanks.,,,,,,,,,,
41,tesco-2837814,2837814,2837814,Mon Nov 27 13:28:05 +0000 2017,"@Tesco A lot of your own branded products are still packaged in non-recyclable plastic. Can this be improved? Why wait for legislation to change. It's a no-brainer. What are we waiting for?! thanks in advance, j",,,,,,,,,,
42,tesco-2960691,2960692,2960691,Wed Nov 29 20:58:55 +0000 2017,@Tesco I have dmed the details over thanks for the help,"[Customer] @Tesco I wasn’t looking for a pet caterpillar when I brought a lettuce from you yesterday!!! No receipt as my local doesn’t automatically give them and I didn’t think I’d have any problems with a lettuce. Very disappointed had to throw the whole thing away! <media_or_link> || [Tesco] @customer Do you recall a use by date for the Lettuce? Can you DM with full name, address &amp; email? Is it ok to pass your details to supplier? Would you like refund by email or post. TY - Rhuari 2/2",,,,,,,,,
43,tesco-2933230,2933230,2933230,Tue Nov 28 23:38:04 +0000 2017,@tesco brought a pack of Tesco’s finest oranges from Hammersmith and look how destroyed the orange is. You guys are RAW!!! for selling that. 😩 <media_or_link>,,,,,,,,,,
44,tesco-2964734,2964734,2964734,Wed Nov 29 20:11:52 +0000 2017,@Tesco great job on policing your double yellow lines outside your Wishaw Store No badge or driver. Aw some! <media_or_link>,,,,,,,,,,
45,tesco-535394,535394,535394,Sat Dec 02 11:12:37 +0000 2017,Yo @Tesco - have you stopped stocking Quorn chicken breast style fillets? Haven’t been able to get them for weeks now... 😒,,,,,,,,,,
